English	German	Spanish	French	Esperanto	Portuguese	Polish	Russian	Dutch	Italien
The tinkle of the rain could be heard in the distance and we knew it was coming our way.	Das Klirren der regen konnte in der Ferne zu hören und wir wussten, dass es uns auf dem Weg kommen würde.	El tintineo de la lluvia se podía oír en la distancia y sabíamos que venía hacia nosotros.	Le tintement de la pluie pourrait être entendu au loin et nous savions qu'il allait venir notre chemin.	La tintado de la pluvo aŭdiĝis de malproksime kaj ni sciis ĝin estis venanta nia vojo.	O tilintar da chuva podia ser ouvido à distância e nós sabia que estava vindo em nossa direção.	Brzęk deszczu słychać w oddali i wiedział, że nadchodzi nasz sposób.	Звоном дождя можно было услышать на расстоянии, и мы знали, что это идет наш путь.	Het gerinkel van de regen kon worden gehoord in de verte en we wisten dat het zou ons afkomt.	Il tintinnio della pioggia potrebbe essere sentito in lontananza e sapevamo che stava arrivando il nostro modo.
I took her shopping but she moaned throughout the day.	Ich nahm sie einkaufen, aber sie im Laufe des Tages stöhnte.	Tomé sus compras pero ella gemía durante todo el día.	Je pris ses courses, mais elle gémit tout au long de la journée.	Mi prenis ŝin komerca sed ŝi ĝemis tra la tago.	Eu a levei de compras, mas ela gemeu ao longo do dia.	Wziąłem ją na zakupy, ale jęknęła przez cały dzień.	Я взял ее покупки, но она стонала в течение всего дня.	Ik nam haar winkelen, maar ze kreunde gedurende de dag.	Ho preso il suo shopping, ma si lamentò per tutta la giornata.
Zap! The ghosts were eradicated with the laser gun.	Zap! Die Ghosts wurden mit der Laserkanone ausgerottet.	¡Borrar! Los fantasmas se erradicaron con la pistola láser.	Zap! Les fantômes ont été éradiqués avec le pistolet laser.	Zap! La fantomoj estis elradikigitaj kun la laseron pafilo.	Zap! Os fantasmas foram erradicados com a arma laser.	Zastrzelić! Duchy zostały wyeliminowane z pistoletu laserowego.	Zap! Призраки были уничтожены с лазерной пушкой.	Zap! De geesten werden uitgeroeid met de lasergun.	Zap! I fantasmi sono stati sradicati con la pistola laser.
Please do not gargle with your water like that; drink it properly.	Bitte verwenden Sie gurgeln nicht mit Wasser so; trinken Sie es richtig.	Por favor, no hacer gárgaras con el agua de esa manera; beber adecuadamente.	S'il vous plaît ne pas se gargariser avec votre eau comme ça; boire correctement.	Bonvolu ne gargle kun via akvo kiel tiu; trinki ĝin konvene.	Por favor, não gargarejo com sua água assim; beber corretamente.	Proszę nie płukać gardło wodą z takiego; pić go prawidłowo.	Пожалуйста, не полоскать с водой, как это; пить его правильно.	Gelieve niet gorgelen met uw water als dat; drink het goed.	Si prega di non fare i gargarismi con l'acqua così; bere in modo corretto.
The water gushed down the stream to the waterfall.	Das Wasser strömte hinunter den Strom zum Wasserfall.	El agua se derramaron por la corriente hasta la cascada.	L'eau a jailli sur le cours d'eau de la cascade.	La akvo versxigxis sur la rivereto al la akvofalo.	A água jorrava para baixo o fluxo até a cachoeira.	Woda tryskała w dół strumienia do wodospadu.	Вода хлынула вниз по течению до водопада.	Het water gutste langs de stroom naar de waterval.	L'acqua sgorgava lungo il torrente fino alla cascata.
Someone shut that dog up! I’m tired of her yapping at us all day.	Jemand schließt den Hund auf! Ich bin müde von ihrem Kläffen bei uns den ganzen Tag.	Alguien cerró a ese perro! Estoy cansado de ella ladrar en nosotros todo el día.	Quelqu'un a fermé que jusqu'à chien! Je suis fatigué de son jappements à nous toute la journée.	Iu fermis tiu hundo supren! Mi estas laca de sia yapping nin la tutan tagon.	Alguém fechou aquele cachorro-se! Estou cansado de sua latindo para nós durante todo o dia.	Ktoś zamknął ten pies up! Jestem zmęczony jej yapping na nas cały dzień.	Кто-то закрыл эту собаку! Я устал от нее тявкать у нас весь день.	Iemand sloot die hond op! Ik ben moe van haar gekef bij ons de hele dag.	Qualcuno chiuse quel cane in su! Sono stanco di suo abbaiare a noi tutto il giorno.
I gobbled down my food as quickly as I could so that I could go and play football.	Ich hinunterschlang mein Essen so schnell wie ich kann, so dass ich gehen und Fußball spielen könnte.	Engullí por mi comida lo más rápido que pude para que pudiera ir a jugar al fútbol.	J'avalé ma nourriture vers le bas aussi vite que je pouvais pour que je puisse aller jouer au football.	Mi forvoris mian manĝon tiel rapide kiel mi povis tiel ke mi povis iri kaj ludi futbalon.	I devorado minha comida tão rápido quanto eu podia para que eu pudesse ir e jogar futebol.	I wchłonięta w dół moje jedzenie najszybciej, jak mogłem tak, że mogę iść i grać w piłkę nożną.	Я проглотил свою еду так быстро, как я мог так, чтобы я мог пойти и играть в футбол.	Ik gobbled beneden mijn eten zo snel als ik kon, zodat ik kon gaan voetballen.	Ho inghiottito giù il mio cibo il più presto potrei modo che io possa andare a giocare a calcio.
The ding-dong of the doorbell is not loud enough.	Der ding-dong der Türklingel ist nicht laut genug.	El ding-dong del timbre de la puerta no es lo suficientemente fuerte.	Le ding-dong de la porte est pas assez fort.	La ding-dong de la stampas ne sufiĉe laŭte.	O ding-dong da campainha não é alto o suficiente.	Ding-dong od dzwonka nie jest wystarczająco głośny.	Звенящий от дверного звонка не достаточно громко.	Het ding-dong van de deurbel is niet hard genoeg.	Il ding-dong del campanello non è abbastanza forte.
We heard the tlot–tlot of the horse’s hooves.	Wir hörten den tlot-tlot des Pferdehuf.	Oímos el tlot-tlot de los cascos del caballo.	Nous avons entendu le tlot-tlot des sabots du cheval.	Ni aŭdis la tlot-tlot de la ĉevalo hufoj.	Ouvimos o tlot-tlot dos cascos do cavalo.	Słyszeliśmy tlot-tlot kopyt końskich.	Мы слышали Tlot-Tlot копыт лошади.	We hoorden de tlot-tlot van de hoeven van het paard.	Abbiamo sentito il Tlot-Tlot degli zoccoli del cavallo.
I squashed the snail when I stood on it by accident.	Ich zerquetschte die Schnecke, wenn ich es durch Zufall stand.	Aplasté el caracol cuando me quedé en él por accidente.	J'écrasé l'escargot quand je me suis dessus par hasard.	Mi premplatigis la heliko kiam mi staris sur ĝi hazarde.	I esmagado o caracol quando eu estive nele por acidente.	I zgniecione ślimak kiedy stałem na niego przez przypadek.	Я раздавил улитку, когда я стоял на ней случайно.	Ik geplet de slak als ik erop stond per ongeluk.	Ho schiacciato la lumaca quando mi trovavo su di esso per caso.
The wolf howled at the moon.	Der Wolf heulte auf dem Mond.	El lobo aulló a la luna.	Le loup hurlait à la lune.	Lupo hurlis ĉe la luno.	O lobo uivou para a lua.	Wilk zawył do księżyca.	Волк выл на луну.	De wolf huilde naar de maan.	Il lupo ululava alla luna.
For breakfast he had a cereal that went “snap, crackle and pop” as he poured on the milk.	Zum Frühstück hatte er ein Getreide, das „Snap, Knistern und Pop“ ging, wie er sich auf die Milch gegossen.	Para el desayuno que tenía un cereal que fue “chasquido, crujido y el pop” mientras se servía en la leche.	Pour le petit déjeuner, il avait une céréale qui est allé « snap, craquements et de la pop », comme il versé sur le lait.	Por matenmanĝo li havis cerealo kiu iris "klakon, krakado kaj pop" kiel li verŝis sur la lakto.	Para o pequeno almoço ele tinha um cereal que foi “estalo, crepitação e pop”, como ele derramou sobre o leite.	Na śniadanie miał płatki że poszedł „snap, crackle i pop” jak wylał na mleku.	На завтрак он был зерновых, который пошел «оснастки, треск и поп-музыки», как он вылил на молоко.	Voor het ontbijt had hij een graansoort die “snap, crackle en pop” ging hij op de melk gegoten.	Per la prima colazione aveva un cereale che è andato “a scatto, crackle e pop” mentre versava il latte.
A door banged and someone sneezed “atishoo.”	Eine Tür knallte und jemand nieste „atishoo.“	Una puerta de un golpe y alguien estornudó “atishoo.”	Une porte claqua et quelqu'un éternue « atishoo. »	Pordo batis kaj iu ternis "atishoo."	A porta bateu e alguém espirrou “Tchim.”	Drzwi z hukiem i ktoś kichnął „atishoo”.	Дверь хлопнула, и кто-то чихнул «atishoo.»	Een deur sloeg en iemand niesde “atishoo.”	Una porta sbatté e qualcuno starnutito “atishoo.”
The crowd murmured as the judge announced the verdict.	Die Menge, als der Richter murmelte kündigte das Urteil.	La multitud murmuró como el juez anunció el veredicto.	La foule murmurait que le juge a annoncé le verdict.	La homamaso murmuris la juĝisto anoncis la verdikton.	A multidão murmurou quando o juiz anunciou a sentença.	Tłum mruknął jako sędzia ogłosił werdykt.	Толпа бормотала как судья объявила приговор.	De menigte mompelde de rechter kondigde het vonnis.	La folla mormorò come il giudice ha annunciato il verdetto.
Meow purred the cat.	Meow schnurrte die Katze.	Maullido ronroneó el gato.	Meow le chat ronronne.	Meow ronronis la kato.	Meow ronronou o gato.	Meow mruczała kota.	Мяу мурлыкал кот.	Meow spinde de kat.	Meow le fusa del gatto.
Boing went the bouncy ball!	Boing ging die Flummi!	Boing fue la pelota hinchable!	Boing est allé le ballon plein d'entrain!	Boing foriris la bouncy pilko!	Boing passou a bola saltitante!	Boing poszedł nadmuchiwany piłkę!	Boing пошел Надувной мяч!	Boing ging de bouncybal!	Boing è andato la palla rimbalzante!
You are welcome!	Bitte schön!	¡De nada!	Je vous en prie!	Nedankinde!	Você é bem vindo!	Zapraszamy!	Добро пожаловать!	Alstublieft!	Prego!
What a wonderful day!	Was für ein wunderschöner Tag!	¡Qué hermoso día!	Quelle belle journée!	Kio mirinda tago!	Que dia maravilhoso!	Co za wspaniały dzień!	Какой прекрасный день!	Wat een prachtige dag!	Che bella giornata!
Let the good times roll!	Lass die guten Zeiten ruhen!	¡Deja que los buenos tiempos pasen!	Laissez le bon temps rouler!	Lasu la bonajn tempojn ruliĝi!	Deixe os bons tempos!	Niech nadejdą dobre czasy!	Пусть хорошие времена ролл!	Laat de goede tijden rollen!	Lasciate che i bei tempi rotolare!
The flight was rough!	Der Flug war rau!	El vuelo fue duro!	Le vol a été rude!	La flugo estis kruda!	O vôo era áspera!	Lot był szorstki!	Полет был груб!	De vlucht was ruw!	Il volo era agitato!
We got lost in the swamp.	Wir haben uns in den Sumpf verloren.	Nos hemos perdido en el pantano.	Nous nous sommes perdus dans le marais.	Ni perdis en la marĉo.	Temos perdido no pântano.	Zgubiliśmy się w bagno.	Мы заблудились в болоте.	We waren verdwaald in het moeras.	Ci siamo persi nella palude.
Fourteen teenagers got returned to their parents being totally drunk.	Vierzehn Jugendliche wurden zu ihren Eltern zurückgekehrt total betrunken zu sein.	Catorce adolescentes consiguieron devueltos a sus padres siendo totalmente borracho.	Quatorze adolescents se sont rendus à leurs parents étant totalement ivre.	Dek kvar adoleskantoj got revenis al siaj gepatroj esti plene ebria.	Quatorze adolescentes foi devolvida aos seus pais sendo totalmente bêbado.	Czternaście nastolatków ale wrócił do rodziców jest całkowicie pijany.	Четырнадцать подростков получили вернулись к своим родителям быть абсолютно пьяны.	Veertien tieners kreeg keerden terug naar hun ouders volkomen dronken.	Quattordici adolescenti GOT tornarono ai loro genitori di essere completamente ubriaco.
This simultaneous frontal assault and flanking maneuver halted and captured a good portion of the 15th Alabama.	Diese gleichzeitige Frontalangriff und flankierende Manöver angehalten und einen guten Teil des 15. Alabama eingefangen.	Este asalto frontal simultánea y maniobra de flanqueo detuvieron y capturaron una buena parte de la 15a Alabama.	Cette attaque frontale simultanée et manœuvre de flanc et ont capturé une stoppées bonne partie du 15e Alabama.	Ĉi samtempaj sturmo frontal kaj laŭflankantaj manovro haltis kaj kaptis bonan parton de la 15a Alabamo.	Este ataque frontal simultânea e flanqueando manobra interrompido e capturada uma boa parte do 15 Alabama.	Ten równoczesny atak frontalny i flankowanie zatrzymany i zdobył sporą część 15. Alabama.	Это одновременное фронтальное наступление и фланговые маневр остановился и захватили большую часть 15-й штат Алабама.	Deze gelijktijdige frontale aanval en flankerend manoeuvre stopgezet en veroverde een groot deel van de 15e Alabama.	Questo attacco frontale simultanea e manovra di fiancheggiamento fermato e catturato una buona parte del 15 Alabama.
In the heat of the night.	In der Hitze der Nacht.	En el calor de la noche.	Dans la chaleur de la nuit.	En la varmego de la nokto.	No calor da Noite.	W upale nocy.	В разгар ночи.	In het holst van de nacht.	Nel calore della notte.
Run for your life.	Lauf um dein Leben.	Corre por tu vida.	Cours pour ta vie.	Kuru por via vivo.	Corra por sua vida.	Run for your life.	Беги, если твоя жизнь тебе дорога.	Ren voor je leven.	Correre per la tua vita.
Cut, copy and paste.	Ausschneiden, Kopieren und Einfügen.	Cortar, copiar y pegar.	Couper, copier et coller.	Cut, kopii kaj bati.	Cortar, copiar e colar.	Wycinanie, kopiowanie i wklejanie.	Вырезать, копировать и вставлять.	Knippen, kopiëren en plakken.	Taglia, copia e incolla.
Charles Lindberg was the first to cross the atlantic in a plane.	Charles Lindberg war der erste den Atlantik in einem Flugzeug zu überqueren.	Charles Lindberg fue el primero en cruzar el Atlántico en un avión.	Charles Lindberg fut le premier à traverser l'Atlantique dans un plan.	Charles Lindberg estis la unua transiri la Atlantika en ebeno.	Charles Lindberg foi o primeiro a atravessar o Atlântico em um plano.	Charles Lindbergh jako pierwszy przepłynąć Atlantyk w samolocie.	Чарльз Линдберг был первым, чтобы пересечь Атлантику на самолете.	Charles Lindberg als eerste de Atlantische in een vlak te steken.	Charles Lindberg fu il primo ad attraversare l'Atlantico in un piano.
The maya glyphs have only recently been deciphered.	Die Maya-Glyphen haben erst vor kurzem entschlüsselt.	Los glifos mayas sólo recientemente se han descifrado.	Les Glyphes MAYA ont récemment été déchiffré.	La maya hieroglifoj nur ĵus estis deĉifrita.	Os hieróglifos maias só recentemente foram decifradas.	Glify Maya dopiero niedawno zostały rozszyfrowane.	Глифы майя только недавно были расшифрованы.	De maya glyphs zijn pas recentelijk ontcijferd.	I glifi maya sono stati recentemente decifrati solo.
Jet lag was previously classified as one of the circadian rhythm sleep disorders.	Jetlag war zuvor als einer der zirkadianen Schlafstörungen klassifiziert.	El jet lag se clasificó previamente como uno de los trastornos del sueño del ritmo circadiano.	Jet lag a déjà été classé comme l'un des troubles du rythme circadien du sommeil.	Jeto postrestas estis antaŭe klasifikita kiel unu el la ritmoj ritmo dormo malordoj.	Jet lag foi previamente classificado como um dos distúrbios do ritmo circadiano.	Jet lag był wcześniej klasyfikowany jako jeden z dobowego rytmu zaburzenia snu.	биоритма был ранее классифицирован как один из циркадного ритма сна.	Jetlag is eerder geclassificeerd als een van de circadiane ritme slaapstoornissen.	Jet lag è più considerata come uno dei disturbi del sonno ritmo circadiano.
With seven cities in fifteen days you are going to be really busy.	Mit sieben Städten in 15 Tagen sind Sie wirklich beschäftigt sein.	Con siete ciudades en quince días que va a estar muy ocupado.	Avec sept villes en quinze jours, vous allez être très occupé.	Kun sep urboj en dek kvin tagoj vi estos vere okupita.	Com sete cidades em quinze dias você vai estar muito ocupado.	Z siedmiu miast w piętnastu dni masz zamiar być bardzo zajęty.	С семи городов пятнадцати дней вы собираетесь быть очень занят.	Met zeven steden in vijftien dagen je gaat echt bezig te zijn.	Con sette città in quindici giorni che si sta per essere molto occupato.
A Google translated sentence is better than no translation but still far from being accurate.	Ein Google übersetzte Satz ist besser als gar keine Übersetzung, aber bei weitem noch nicht genau zu sein.	Una frase traducida Google es mejor que ninguna traducción, pero aún lejos de ser exacta.	Une phrase traduite Google est mieux que pas de traduction, mais encore loin d'être précis.	Google tradukita frazo estas pli bona ol neniu traduko sed ankoraŭ for de esti preciza.	A frase traduzida Google é melhor do que nenhuma tradução, mas ainda longe de ser exata.	Google przetłumaczone zdanie jest lepsza niż brak tłumaczenia, ale wciąż daleko od bycia dokładne.	Google перевел предложение лучше, чем без перевода, но все еще далека от точной.	Een Google vertaalde zin is beter dan helemaal geen vertaling, maar nog verre van accuraat.	Una frase tradotta Google è meglio di nessuna traduzione ma ancora lontano dall'essere accurate.
The working culture of silicon valley company differs positively in a great amount from traditional working cultures	Die Arbeitskultur des Silicon Valley Unternehmen unterscheidet sich positiv in einer großen Menge von traditionellen Arbeitskulturen	La cultura de trabajo de la compañía de Silicon Valley se diferencia positivamente en una gran cantidad de trabajo a partir de cultivos tradicionales	La culture de travail de l'entreprise de la vallée de silicium se distingue positivement dans une grande quantité de cultures traditionnelles de travail	La laboranta kulturo de silicio valo entrepreno diferencas pozitive en granda kvanto de tradicia laborista kulturoj	A cultura de trabalho da empresa do Vale do Silício difere positivamente em uma grande quantidade de culturas de trabalho tradicionais	Kultura pracy firmy Silicon Valley pozytywnie różni się w wielkiej ilości od tradycyjnych kultur pracy	Рабочая культура кремния долины компании положительно отличается большим количеством традиционных рабочих культур	De werkcultuur van Silicon Valley bedrijf onderscheidt zich positief in een grote hoeveelheid van de traditionele werkculturen	La cultura di lavoro della società valle silicio differenzia positivamente in una grande quantità da culture di lavoro tradizionali
The king is dead. Long live the king.	Der König ist tot. Lang lebe der König.	El rey esta muerto. Larga vida al rey.	Le roi est mort. Longue vie au roi.	La reĝo mortis. Vivu la reĝo.	O rei está morto. Vida longa ao rei.	Król nie żyje. Niech żyje król.	Король мертв. Да здравствует король.	De koning is dood. Lang leve de koning.	Il re è morto. Lunga vita al Re.
The identity of Jack the Ripper will remain a mystery.	Die Identität von Jack the Ripper wird ein Geheimnis bleiben.	La identidad de Jack el Destripador seguirá siendo un misterio.	L'identité de Jack l'Eventreur restera un mystère.	La identeco de Jack la Ripper restos mistero.	A identidade de Jack, o Estripador, continuará a ser um mistério.	Tożsamość Kuby Rozpruwacza pozostanie tajemnicą.	Личность Джека Потрошителя остается загадкой.	De identiteit van Jack the Ripper zal een mysterie blijven.	L'identità di Jack lo Squartatore rimarrà un mistero.
Languages change constantly.	Sprachen verändern sich ständig.	Idiomas cambian constantemente.	Langues changent constamment.	Lingvoj ŝanĝas senĉese.	As línguas mudam constantemente.	Języki ciągle się zmieniają.	Языки постоянно меняются.	Talen veranderen voortdurend.	Lingue cambiano in continuazione.
I will never give up.	Ich werde niemals aufgeben.	Nunca me rendiré.	Je n'abandonnerai jamais.	Mi neniam rezignos.	Eu nunca vou desistir.	Nigdy nie poddam się.	Я никогда не сдамся.	Ik zal nooit opgeven.	Non mi arrenderò mai.
